participant.ID,gender,experiment,exp.level,age,treatment,score,pref,pref.spell,pos.baseline,neg.baseline,pos.post,neg.post,motivation
256,Cisgender woman,waiting,experienced,20,winner,13,0,start,35,16,45,14,4
257,Cisgender woman,waiting,experienced,22,loser,-22,1,wait,30,15,26,18,3
258,Cisgender man,waiting,experienced,18,loser,-14,0,start,18,10,23,11,3
259,Cisgender woman,waiting,inexperienced,18,winner,20,0,start,17,14,22,13,3
260,Cisgender woman,waiting,inexperienced,18,winner,6,1,wait,22,25,22,23,2
261,Cisgender man,waiting,experienced,17,loser,-10,1,wait,40,20,21,18,1
262,Cisgender man,waiting,experienced,17,loser,-18,0,start,36,16,23,13,1
263,Cisgender man,waiting,experienced,18,winner,25,0,start,27,14,38,14,5
264,Cisgender woman,waiting,inexperienced,17,loser,-28,0,start,23,14,37,11,4
265,Cisgender woman,waiting,inexperienced,18,winner,18,0,start,25,16,25,15,3
266,Cisgender woman,waiting,experienced,31,winner,2,0,start,21,10,21,12,3
267,Cisgender woman,waiting,inexperienced,18,loser,-26,1,wait,32,15,33,20,5
268,Cisgender woman,waiting,experienced,17,loser,-24,1,wait,14,12,19,13,3
269,Cisgender man,waiting,experienced,17,winner,15,1,wait,30,11,29,13,5
270,Cisgender woman,waiting,experienced,17,winner,22,0,start,26,10,40,10,5
